Date,Weekly Cases,Average Cases,Weekly Hospitalizations,Weekly Deaths,Avg Cases MI,Avg Positives Rate
2020-08-03,110.0,15.8,14.0,3.0,132.25452985427415,0.0262970732004495
2020-08-04,115.0,17.2,14.0,3.0,135.53356778454534,0.025028203578343178
2020-08-05,122.0,17.0,14.0,3.0,128.42898560229094,0.02352530857982276
2020-08-06,119.0,15.8,14.0,3.0,130.06850456742666,0.02269695390608934
2020-08-07,110.0,15.8,14.0,3.0,137.719593071393,0.02168693165133152
2020-08-08,112.0,16.8,5.0,0.0,127.33597295886742,0.021362231954816117
2020-08-09,112.0,16.2,5.0,0.0,112.5803022726468,0.02069508989509074
2020-08-10,110.0,14.2,5.0,0.0,111.48728962922303,0.02053632756844526
2020-08-11,104.0,15.2,5.0,0.0,120.23139077661304,0.02035628784330364
2020-08-12,94.0,17.4,5.0,0.0,119.1383781331892,0.0202834433337942
2020-08-13,99.0,17.8,5.0,0.0,121.3244034200366,0.02041696145370232
2020-08-14,102.0,16.6,5.0,0.0,125.6964539937316,0.020712800636289337
2020-08-15,98.0,16.6,6.0,2.0,115.31283388120596,0.02097594035111194
2020-08-16,106.0,15.0,6.0,2.0,108.20825169895156,0.02117567953421488
2020-08-17,102.0,11.6,6.0,2.0,126.24296031544357,0.02108986155487784
2020-08-18,107.0,10.0,6.0,2.0,126.24296031544357,0.02057883266576006
2020-08-19,111.0,14.0,6.0,2.0,143.18465628851177,0.020323515161806062
2020-08-20,110.0,17.6,6.0,2.0,157.3938206530206,0.019475349772978018
2020-08-21,111.0,19.2,6.0,2.0,162.3123775484274,0.01870023717216102
2020-08-22,114.0,20.0,7.0,0.0,141.545137323376,0.01799647961545702
2020-08-23,105.0,20.6,7.0,0.0,129.52199824571474,0.01745549447844208
2020-08-24,104.0,17.4,7.0,0.0,122.41741606346034,0.016916313347876417
2020-08-25,104.0,16.0,7.0,0.0,120.23139077661274,0.016662093741335517
2020-08-26,110.0,17.0,7.0,0.0,122.41741606346034,0.01632373231535888
2020-08-27,106.0,15.2,7.0,0.0,123.51042870688411,0.01620986536216684
2020-08-28,113.0,18.2,7.0,0.0,136.62658042796915,0.016428007988962618
2020-08-29,116.0,18.2,2.0,0.0,124.05693502859599,0.01647746489613294
2020-08-30,136.0,16.8,2.0,0.0,120.23139077661298,0.01668046627034406
2020-09-01,145.0,18.6,2.0,0.0,129.52199824571485,0.01757507420309406
2020-09-02,144.0,22.0,2.0,0.0,128.97549192400282,0.0178388515440699
2020-09-03,145.0,20.0,2.0,0.0,137.17308674968098,0.01813540964951078
2020-09-04,152.0,23.0,2.0,0.0,133.34754249769782,0.01819680481361046
2020-09-05,149.0,25.0,3.0,0.0,123.510428706884,0.018287295450341978
2020-09-06,144.0,20.2,3.0,0.0,107.66174537723953,0.01793040592328888
2020-09-07,137.0,17.8,3.0,0.0,102.19668216012091,0.01801164024025076
2020-09-08,138.0,18.2,3.0,0.0,106.56873273381593,0.0178585387528245
2020-09-09,140.0,15.8,3.0,0.0,112.58030227264653,0.018101841047257823
2020-09-10,142.0,16.0,3.0,0.0,116.40584652462971,0.0184711651073848
2020-09-11,132.0,21.0,3.0,0.0,131.1615172108504,0.01899593207906348
2020-09-12,130.0,22.8,5.0,0.0,131.16151721085038,0.01946020398289376
2020-09-13,134.0,22.8,5.0,0.0,116.40584652462974,0.02035790516781814
2020-09-14,130.0,22.4,5.0,0.0,111.48728962922294,0.02083763126831738
2020-09-15,135.0,21.6,5.0,0.0,118.04536548976553,0.02080801066351224
2020-09-16,152.0,18.6,5.0,0.0,123.51042870688434,0.020415854120750417
2020-09-17,159.0,22.0,5.0,0.0,141.54513732337614,0.02006166405956822
2020-09-18,178.0,22.2,5.0,0.0,159.0333396181562,0.01904517131073714
2020-09-19,190.0,22.6,1.0,1.0,160.1263522615798,0.017954927456044618
2020-09-20,204.0,23.6,1.0,1.0,159.033339618156,0.01717116219304702
2020-09-21,241.0,26.4,1.0,1.0,176.52154191293602,0.01672008432384334
2020-09-22,270.0,27.4,1.0,1.0,187.4516683471736,0.0161490139637495
2020-09-23,270.0,29.4,1.0,1.0,191.2772125991568,0.01588836801609274
2020-09-24,285.0,33.4,1.0,1.0,196.7422758162756,0.01594406498644236
2020-09-25,309.0,43.0,1.0,1.0,200.0213137465468,0.01641410615077628
2020-09-26,315.0,44.0,2.0,1.0,174.8820229478004,0.01705787332952788
2020-09-27,315.0,42.2,2.0,1.0,140.99863100166402,0.01757142747068654
2020-09-28,285.0,45.4,2.0,1.0,127.33597295886705,0.01825718231875656
2020-09-29,262.0,50.6,2.0,1.0,125.69645399373144,0.019300218562857942
2020-09-30,256.0,42.8,2.0,1.0,112.58030227264643,0.020039473451316
2020-10-01,226.0,42.4,2.0,1.0,100.55716319498524,0.0204616152270853
2020-10-02,196.0,41.6,2.0,1.0,98.91764422984963,0.02065997543859
2020-10-03,192.0,36.0,8.0,0.0,94.54559365615462,0.02051642926310556
2020-10-04,199.0,25.8,8.0,0.0,87.98751779561222,0.0198864445476398
2020-10-05,219.0,22.2,8.0,0.0,97.82463158642602,0.018859808199558178
2020-10-06,244.0,23.6,8.0,0.0,125.14994767201983,0.01762163281089498
2020-10-07,267.0,26.0,8.0,0.0,142.09164364508803,0.01663510077788142
2020-10-08,291.0,30.4,8.0,0.0,150.2892384707662,0.0158312791712196
2020-10-09,314.0,39.2,8.0,0.0,156.8473143313086,0.01558506497253328
2020-10-10,329.0,45.4,4.0,0.0,154.11478272274923,0.01593315858911646
2020-10-11,346.0,41.4,4.0,0.0,152.4752637576136,0.016806079774102617
2020-10-12,392.0,43.6,4.0,0.0,177.6145545563598,0.017815825758453
2020-10-13,427.0,48.2,4.0,0.0,214.2304781110554,0.01895829827967262
2020-10-14,442.0,54.4,4.0,0.0,229.53265511898798,0.0202507103957907
2020-10-15,477.0,63.2,4.0,0.0,251.39290798746302,0.022065619718737977
2020-10-16,502.0,74.8,4.0,0.0,260.6835154565648,0.02376864285364782
2020-10-17,515.0,76.2,8.0,0.0,237.730249944666,0.02545619104033146
2020-10-18,523.0,71.0,8.0,0.0,212.04445282420778,0.02714118602581218
2020-10-19,518.0,68.4,8.0,0.0,225.16060454529278,0.02919607982716992
2020-10-20,535.0,63.8,8.0,0.0,241.55579419664917,0.0309155793336023
2020-10-21,548.0,64.0,8.0,0.0,249.75338902232744,0.032533534330517457
2020-10-22,526.0,73.8,8.0,0.0,250.8464016657512,0.03324705206853626
2020-10-23,536.0,81.0,8.0,0.0,262.3230344217006,0.034252628290689
2020-10-24,545.0,81.8,14.0,2.0,250.8464016657512,0.0347445251989192
2020-10-25,551.0,79.2,14.0,2.0,226.8001235104286,0.03527366807047058
2020-10-26,564.0,76.4,14.0,2.0,227.8931361538524,0.035755956304983474
2020-10-27,525.0,75.0,14.0,2.0,235.5442246578188,0.0367719459311089
2020-10-28,529.0,69.4,14.0,2.0,236.6372373012426,0.03756434338505667
2020-10-29,539.0,71.0,14.0,2.0,232.2651867275476,0.038307139390043383
2020-10-30,542.0,75.0,14.0,2.0,239.369768909802,0.038379416055308
2020-11-07,835.0,115.4,26.0,1.0,387.4729820937204,0.0415373518646595
2020-11-08,886.0,110.0,26.0,1.0,396.7635895628222,0.044641445288876855
2020-11-09,926.0,115.4,26.0,1.0,418.0773361095852,0.047668698371369854
2020-11-10,1010.0,120.4,26.0,1.0,455.7862723077048,0.0505622439627903
2020-11-11,1038.0,107.0,26.0,1.0,462.8908544899592,0.053816245584275835
2020-11-12,1101.0,132.2,26.0,1.0,490.762676897265,0.057834942091274245
2020-11-13,1097.0,150.2,26.0,1.0,500.59979068807877,0.06152535266618616
2020-11-14,1097.0,163.0,42.0,3.0,471.0884493156376,0.06539814390423501
2020-11-15,1081.0,151.0,42.0,3.0,426.8214372569756,0.06855681507842273
2020-11-16,1090.0,160.6,42.0,3.0,437.20505736950145,0.07133935537566333
2020-11-17,1096.0,135.6,42.0,3.0,445.4026521951794,0.07243457886148888
2020-11-18,1115.0,129.0,42.0,3.0,465.62338609851884,0.07169568002686359
2020-11-19,1100.0,151.0,42.0,3.0,489.66966425384146,0.07016459526078363
2020-11-20,1120.0,179.8,42.0,3.0,520.8205245914182,0.06849828756383
2020-11-21,1131.0,176.0,63.0,5.0,490.7626768972649,0.06607710301241716
2020-11-22,1140.0,178.8,63.0,5.0,443.2166269083318,0.06468441072881989
2020-11-23,1168.0,192.8,63.0,5.0,453.0537406991456,0.06322878570124121
2020-11-24,1156.0,159.6,63.0,5.0,466.71639874194244,0.06217262898758865
2020-11-25,1133.0,153.8,63.0,5.0,468.35591770707816,0.06222199027817623
2020-11-26,1053.0,164.2,63.0,5.0,442.67012058662004,0.06280340358322264
2020-11-27,1015.0,164.6,63.0,5.0,453.6002470208576,0.06329085868459822
2020-11-28,1002.0,156.6,57.0,7.0,409.3332349621956,0.06480468135083274
2020-11-29,960.0,147.6,57.0,7.0,353.04308382587243,0.0679513922086881
2020-11-30,944.0,136.0,57.0,7.0,371.624298764076,0.07210793850472395
2021-01-07,676.0,117.0,49.0,9.0,306.59004648036256,0.0865600413459288
